Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
8/28/1999,AQS,410030013,1,6.3,ug/m3 LC,26,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
8/31/1999,AQS,410030013,1,3.1,ug/m3 LC,13,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
9/3/1999,AQS,410030013,1,6.3,ug/m3 LC,26,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
9/6/1999,AQS,410030013,1,2.7,ug/m3 LC,11,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
9/9/1999,AQS,410030013,1,5.6,ug/m3 LC,23,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
9/12/1999,AQS,410030013,1,3,ug/m3 LC,13,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
9/15/1999,AQS,410030013,1,10.4,ug/m3 LC,43,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
9/18/1999,AQS,410030013,1,11.4,ug/m3 LC,48,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
9/21/1999,AQS,410030013,1,11.7,ug/m3 LC,49,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
9/24/1999,AQS,410030013,1,3.9,ug/m3 LC,16,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
9/27/1999,AQS,410030013,1,4.3,ug/m3 LC,18,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
9/30/1999,AQS,410030013,1,6.3,ug/m3 LC,26,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
10/3/1999,AQS,410030013,1,7.4,ug/m3 LC,31,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
10/6/1999,AQS,410030013,1,4.4,ug/m3 LC,18,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
10/9/1999,AQS,410030013,1,4.1,ug/m3 LC,17,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
10/12/1999,AQS,410030013,1,7,ug/m3 LC,29,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
10/18/1999,AQS,410030013,1,7.2,ug/m3 LC,30,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
10/21/1999,AQS,410030013,1,16.8,ug/m3 LC,61,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
10/24/1999,AQS,410030013,1,5.2,ug/m3 LC,22,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
10/27/1999,AQS,410030013,1,16.5,ug/m3 LC,60,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
10/30/1999,AQS,410030013,1,16.7,ug/m3 LC,61,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
11/2/1999,AQS,410030013,1,17.9,ug/m3 LC,63,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
11/5/1999,AQS,410030013,1,40.6,ug/m3 LC,114,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
11/8/1999,AQS,410030013,1,14.3,ug/m3 LC,56,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
11/11/1999,AQS,410030013,1,11.9,ug/m3 LC,50,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
11/17/1999,AQS,410030013,1,7.3,ug/m3 LC,30,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
11/20/1999,AQS,410030013,1,3.9,ug/m3 LC,16,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
11/23/1999,AQS,410030013,1,6.9,ug/m3 LC,29,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
11/26/1999,AQS,410030013,1,3.7,ug/m3 LC,15,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
11/29/1999,AQS,410030013,1,10.5,ug/m3 LC,44,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
12/2/1999,AQS,410030013,1,4.9,ug/m3 LC,20,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
12/5/1999,AQS,410030013,1,4,ug/m3 LC,17,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
12/8/1999,AQS,410030013,1,6.7,ug/m3 LC,28,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
12/11/1999,AQS,410030013,1,2.6,ug/m3 LC,11,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
12/14/1999,AQS,410030013,1,2.7,ug/m3 LC,11,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
12/17/1999,AQS,410030013,1,3.3,ug/m3 LC,14,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
12/20/1999,AQS,410030013,1,15.5,ug/m3 LC,58,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
12/23/1999,AQS,410030013,1,22.1,ug/m3 LC,72,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
12/26/1999,AQS,410030013,1,22.9,ug/m3 LC,74,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
12/29/1999,AQS,410030013,1,35.1,ug/m3 LC,99,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
1/1/1999,AQS,410090004,1,11.7,ug/m3 LC,49,SAUVIE ISLAND-SIS,1,100,88101,PM2.5 - Local Conditions,38900,"Portland-Vancouver-Hillsboro, OR-WA",41,Oregon,9,Columbia,45.768531,-122.7721
1/2/1999,AQS,410090004,1,9.8,ug/m3 LC,41,SAUVIE ISLAND-SIS,1,100,88101,PM2.5 - Local Conditions,38900,"Portland-Vancouver-Hillsboro, OR-WA",41,Oregon,9,Columbia,45.768531,-122.7721
1/3/1999,AQS,410090004,1,14.3,ug/m3 LC,56,SAUVIE ISLAND-SIS,1,100,88101,PM2.5 - Local Conditions,38900,"Portland-Vancouver-Hillsboro, OR-WA",41,Oregon,9,Columbia,45.768531,-122.7721
1/4/1999,AQS,410090004,1,22.5,ug/m3 LC,73,SAUVIE ISLAND-SIS,1,100,88101,PM2.5 - Local Conditions,38900,"Portland-Vancouver-Hillsboro, OR-WA",41,Oregon,9,Columbia,45.768531,-122.7721
1/5/1999,AQS,410090004,1,33.9,ug/m3 LC,97,SAUVIE ISLAND-SIS,1,100,88101,PM2.5 - Local Conditions,38900,"Portland-Vancouver-Hillsboro, OR-WA",41,Oregon,9,Columbia,45.768531,-122.7721
1/6/1999,AQS,410090004,1,32.5,ug/m3 LC,94,SAUVIE ISLAND-SIS,1,100,88101,PM2.5 - Local Conditions,38900,"Portland-Vancouver-Hillsboro, OR-WA",41,Oregon,9,Columbia,45.768531,-122.7721
1/8/1999,AQS,410090004,1,18.7,ug/m3 LC,65,SAUVIE ISLAND-SIS,1,100,88101,PM2.5 - Local Conditions,38900,"Portland-Vancouver-Hillsboro, OR-WA",41,Oregon,9,Columbia,45.768531,-122.7721
1/9/1999,AQS,410090004,1,18.6,ug/m3 LC,65,SAUVIE ISLAND-SIS,1,100,88101,PM2.5 - Local Conditions,38900,"Portland-Vancouver-Hillsboro, OR-WA",41,Oregon,9,Columbia,45.768531,-122.7721
